File,K,Index,Value
Ecoli.txt,,,
,2,CH,171.160728
,2,SW,0.368574
,3,CH,187.536311
,3,SW,0.409588
,4,CH,204.893165
,4,SW,0.427034
,5,CH,188.852509
,5,SW,0.385847
,6,CH,172.228902
,6,SW,0.274083
,7,CH,162.989377
,7,SW,0.263082
,8,CH,155.092486
,8,SW,0.259563
,9,CH,144.232884
,9,SW,0.249659
,10,CH,136.714349
,10,SW,0.268238
,11,CH,131.155606
,11,SW,0.256749
,12,CH,126.133298
,12,SW,0.230052
,13,CH,121.781391
,13,SW,0.238859
Glass.txt,,,
,2,CH,144.299685
,2,SW,0.524074
,3,CH,106.215022
,3,SW,0.525244
,4,CH,99.712969
,4,SW,0.360163
,5,CH,90.290364
,5,SW,0.374265
,6,CH,88.672859
,6,SW,0.380117
,7,CH,86.312471
,7,SW,0.384302
,8,CH,84.715273
,8,SW,0.387429
,9,CH,81.403136
,9,SW,0.384589
,10,CH,77.287668
,10,SW,0.377378
Ionosphere.txt,,,
,2,CH,115.036023
,2,SW,0.293415
,3,CH,80.647981
,3,SW,0.295905
,4,CH,69.414617
,4,SW,0.311421
,5,CH,59.759864
,5,SW,0.293958
,6,CH,54.319523
,6,SW,0.258276
,7,CH,49.602651
,7,SW,0.227960
,8,CH,45.759894
,8,SW,0.173832
,9,CH,43.067271
,9,SW,0.165707
,10,CH,40.061630
,10,SW,0.177090
,11,CH,38.270813
,11,SW,0.192488
,12,CH,35.422881
,12,SW,0.182234
,13,CH,34.552154
,13,SW,0.184018
Iris_bezdek.txt,,,
,2,CH,354.365556
,2,SW,0.630047
,3,CH,359.845074
,3,SW,0.504769
,4,CH,314.472999
,4,SW,0.445065
,5,CH,289.505999
,5,SW,0.352571
,6,CH,273.358074
,6,SW,0.347572
,7,CH,258.845047
,7,SW,0.337184
,8,CH,246.383744
,8,SW,0.336404
,9,CH,240.633723
,9,SW,0.321312
Landsat.txt,,,
,2,CH,4229.717179
,2,SW,0.367831
,3,CH,5844.390445
,3,SW,0.432125
,4,CH,5317.480590
,4,SW,0.402802
,5,CH,5025.741207
,5,SW,0.339086
,6,CH,4917.818643
,6,SW,0.354965
,7,CH,4597.982979
,7,SW,0.348956
,8,CH,4257.533671
,8,SW,0.304659
,9,CH,3984.578457
,9,SW,0.295711
,10,CH,3797.042303
,10,SW,0.279851
,11,CH,3592.606320
,11,SW,0.292012
,12,CH,3412.184878
,12,SW,0.265803
,13,CH,3288.624177
,13,SW,0.252765
,14,CH,3131.445571
,14,SW,0.252613
,15,CH,3000.436548
,15,SW,0.238486
,16,CH,2899.179022
,16,SW,0.212300
,17,CH,2779.318222
,17,SW,0.212919
,18,CH,2662.658034
,18,SW,0.209022
,19,CH,2572.884553
,19,SW,0.195243
,20,CH,2471.865500
,20,SW,0.205078
,21,CH,2402.851155
,21,SW,0.201096
,22,CH,2334.042961
,22,SW,0.210645
,23,CH,2267.939758
,23,SW,0.187574
,24,CH,2213.944711
,24,SW,0.191484
,25,CH,2148.288673
,25,SW,0.176281
,26,CH,2103.072720
,26,SW,0.188859
,27,CH,2040.005891
,27,SW,0.175966
,28,CH,2006.278078
,28,SW,0.189328
,29,CH,1963.687391
,29,SW,0.170313
,30,CH,1914.482723
,30,SW,0.171799
,31,CH,1886.250819
,31,SW,0.175186
,32,CH,1841.103724
,32,SW,0.168767
,33,CH,1809.509208
,33,SW,0.159214
,34,CH,1775.431970
,34,SW,0.157828
,35,CH,1750.210275
,35,SW,0.166447
,36,CH,1715.599253
,36,SW,0.149115
,37,CH,1688.598815
,37,SW,0.150787
,38,CH,1651.017659
,38,SW,0.147141
,39,CH,1635.663239
,39,SW,0.143938
,40,CH,1600.211989
,40,SW,0.163421
,41,CH,1577.656692
,41,SW,0.144203
,42,CH,1559.609884
,42,SW,0.155740
,43,CH,1533.341340
,43,SW,0.161167
,44,CH,1513.609172
,44,SW,0.142923
,45,CH,1503.288653
,45,SW,0.149518
,46,CH,1468.057353
,46,SW,0.145206
,47,CH,1450.027200
,47,SW,0.142204
,48,CH,1427.054144
,48,SW,0.145877
,49,CH,1409.334504
,49,SW,0.129069
,50,CH,1400.994881
,50,SW,0.145908
,51,CH,1374.153019
,51,SW,0.143395
,52,CH,1365.474286
,52,SW,0.129377
,53,CH,1356.157137
,53,SW,0.139428
,54,CH,1326.557120
,54,SW,0.149797
,55,CH,1327.379296
,55,SW,0.130863
,56,CH,1291.192327
,56,SW,0.132174
,57,CH,1289.155759
,57,SW,0.130015
Letter_Recognition.txt,,,
,2,CH,4746.654519
,2,SW,0.174987
,3,CH,3665.740020
,3,SW,0.158285
,4,CH,3190.877861
,4,SW,0.138205
,5,CH,2934.157636
,5,SW,0.141456
,6,CH,2715.794901
,6,SW,0.149579
,7,CH,2539.280028
,7,SW,0.149091
,8,CH,2400.313360
,8,SW,0.151925
,9,CH,2304.153399
,9,SW,0.149105
,10,CH,2197.671485
,10,SW,0.151492
,11,CH,2116.381983
,11,SW,0.147053
,12,CH,2047.630859
,12,SW,0.149195
,13,CH,1973.133504
,13,SW,0.149282
,14,CH,1911.882793
,14,SW,0.152274
,15,CH,1848.878014
,15,SW,0.152339
,16,CH,1788.715290
,16,SW,0.142537
,17,CH,1737.217063
,17,SW,0.142477
,18,CH,1690.835574
,18,SW,0.142206
,19,CH,1646.604723
,19,SW,0.145454
,20,CH,1603.626967
,20,SW,0.135550
,21,CH,1574.955123
,21,SW,0.140878
,22,CH,1541.164427
,22,SW,0.142018
,23,CH,1503.550858
,23,SW,0.149636
,24,CH,1473.615359
,24,SW,0.143358
,25,CH,1454.122459
,25,SW,0.151347
,26,CH,1424.111834
,26,SW,0.146792
,27,CH,1389.470399
,27,SW,0.148798
,28,CH,1366.359816
,28,SW,0.148623
,29,CH,1340.669277
,29,SW,0.154731
,30,CH,1323.227468
,30,SW,0.153286
,31,CH,1306.529941
,31,SW,0.150300
,32,CH,1285.713360
,32,SW,0.150984
,33,CH,1264.344560
,33,SW,0.151031
,34,CH,1248.767722
,34,SW,0.152825
,35,CH,1225.858969
,35,SW,0.154527
,36,CH,1207.458916
,36,SW,0.152791
,37,CH,1191.671211
,37,SW,0.149011
,38,CH,1180.240248
,38,SW,0.153435
,39,CH,1164.758015
,39,SW,0.155450
,40,CH,1153.093489
,40,SW,0.156757
,41,CH,1148.979663
,41,SW,0.160832
,42,CH,1127.213404
,42,SW,0.160351
,43,CH,1111.733275
,43,SW,0.159909
,44,CH,1104.553154
,44,SW,0.159863
,45,CH,1087.977256
,45,SW,0.161425
,46,CH,1076.189269
,46,SW,0.160295
,47,CH,1067.045489
,47,SW,0.157585
,48,CH,1056.906036
,48,SW,0.160582
,49,CH,1049.665227
,49,SW,0.161228
,50,CH,1036.798096
,50,SW,0.163180
,51,CH,1032.550257
,51,SW,0.164274
,52,CH,1017.487290
,52,SW,0.162546
,53,CH,1005.688551
,53,SW,0.166037
,54,CH,1000.419185
,54,SW,0.160856
,55,CH,987.154415
,55,SW,0.161907
,56,CH,990.999061
,56,SW,0.165717
,57,CH,973.767182
,57,SW,0.161846
,58,CH,969.295995
,58,SW,0.163748
,59,CH,958.241293
,59,SW,0.162008
,60,CH,950.077204
,60,SW,0.168598
,61,CH,944.757799
,61,SW,0.165974
,62,CH,935.824597
,62,SW,0.164178
,63,CH,931.806801
,63,SW,0.163600
,64,CH,923.746706
,64,SW,0.166033
,65,CH,916.270933
,65,SW,0.165241
,66,CH,910.579850
,66,SW,0.167169
,67,CH,900.374361
,67,SW,0.164483
,68,CH,895.548984
,68,SW,0.168310
,69,CH,890.589581
,69,SW,0.168963
,70,CH,886.785906
,70,SW,0.166927
,71,CH,877.545647
,71,SW,0.167436
,72,CH,874.933380
,72,SW,0.166607
,73,CH,871.991248
,73,SW,0.170457
,74,CH,859.888027
,74,SW,0.171299
,75,CH,850.323488
,75,SW,0.169390
,76,CH,850.648287
,76,SW,0.171343
,77,CH,846.871906
,77,SW,0.169591
,78,CH,838.581994
,78,SW,0.173940
,79,CH,837.020733
,79,SW,0.172917
,80,CH,828.918769
,80,SW,0.171994
,81,CH,829.013596
,81,SW,0.176096
,82,CH,819.680768
,82,SW,0.168181
,83,CH,811.861315
,83,SW,0.167112
,84,CH,810.558747
,84,SW,0.173151
,85,CH,804.739402
,85,SW,0.168832
,86,CH,802.877620
,86,SW,0.174422
,87,CH,793.986142
,87,SW,0.171315
,88,CH,797.451655
,88,SW,0.176432
,89,CH,791.505935
,89,SW,0.175671
,90,CH,784.749674
,90,SW,0.173034
,91,CH,781.410775
,91,SW,0.176346
,92,CH,780.045217
,92,SW,0.177979
,93,CH,767.628728
,93,SW,0.176965
,94,CH,765.675196
,94,SW,0.173343
,95,CH,763.449378
,95,SW,0.178470
,96,CH,759.216953
,96,SW,0.177761
,97,CH,755.749535
,97,SW,0.173601
,98,CH,751.358144
,98,SW,0.174220
,99,CH,743.765191
,99,SW,0.177682
,100,CH,744.493385
,100,SW,0.175869
Segmentation.txt,,,
,2,CH,1818.726456
,2,SW,0.466949
,3,CH,1670.779068
,3,SW,0.323483
,4,CH,1843.722725
,4,SW,0.383185
,5,CH,1647.545456
,5,SW,0.348731
,6,CH,1499.908164
,6,SW,0.334783
,7,CH,1425.456636
,7,SW,0.333352
,8,CH,1327.452521
,8,SW,0.340421
,9,CH,1249.949606
,9,SW,0.326540
,10,CH,1193.086245
,10,SW,0.292426
,11,CH,1132.922944
,11,SW,0.312845
,12,CH,1107.359340
,12,SW,0.287020
,13,CH,1073.872084
,13,SW,0.290264
,14,CH,1062.624628
,14,SW,0.287060
,15,CH,1023.604828
,15,SW,0.277837
,16,CH,1013.144157
,16,SW,0.288382
,17,CH,982.913255
,17,SW,0.291357
,18,CH,960.955790
,18,SW,0.280435
,19,CH,931.212737
,19,SW,0.275644
,20,CH,937.358145
,20,SW,0.296377
,21,CH,913.739150
,21,SW,0.297524
,22,CH,887.816670
,22,SW,0.290183
,23,CH,872.264004
,23,SW,0.265679
,24,CH,862.293196
,24,SW,0.292153
,25,CH,838.931675
,25,SW,0.292179
,26,CH,827.634431
,26,SW,0.288664
,27,CH,811.179487
,27,SW,0.275516
,28,CH,807.724233
,28,SW,0.280258
,29,CH,808.070516
,29,SW,0.302880
,30,CH,787.951028
,30,SW,0.267511
,31,CH,789.326393
,31,SW,0.282996
,32,CH,760.405074
,32,SW,0.283126
,33,CH,750.141245
,33,SW,0.269261
,34,CH,759.448807
,34,SW,0.282995
Vehicle.txt,,,
,2,CH,702.578530
,2,SW,0.403286
,3,CH,549.866216
,3,SW,0.303884
,4,CH,445.792991
,4,SW,0.254145
,5,CH,384.549665
,5,SW,0.213724
,6,CH,343.282997
,6,SW,0.216869
,7,CH,315.556953
,7,SW,0.221129
,8,CH,293.865104
,8,SW,0.222570
,9,CH,278.329464
,9,SW,0.195328
,10,CH,273.648595
,10,SW,0.196849
,11,CH,262.759536
,11,SW,0.202755
,12,CH,257.102581
,12,SW,0.203267
,13,CH,248.386217
,13,SW,0.210949
,14,CH,239.965513
,14,SW,0.199566
,15,CH,233.454523
,15,SW,0.202972
,16,CH,227.711078
,16,SW,0.207137
,17,CH,221.906938
,17,SW,0.207136
,18,CH,214.826598
,18,SW,0.203860
,19,CH,209.341793
,19,SW,0.205287
,20,CH,203.477668
,20,SW,0.200290
,21,CH,199.566013
,21,SW,0.203441
Wine.txt,,,
,2,CH,84.708504
,2,SW,0.298722
,3,CH,83.373748
,3,SW,0.301346
,4,CH,65.852046
,4,SW,0.259937
,5,CH,54.964201
,5,SW,0.244650
,6,CH,48.113394
,6,SW,0.203888
,7,CH,43.261781
,7,SW,0.209567
,8,CH,39.896207
,8,SW,0.137590
,9,CH,37.706076
,9,SW,0.146745
Yeast.txt,,,
,2,CH,387.672986
,2,SW,0.247650
,3,CH,328.367176
,3,SW,0.243249
,4,CH,308.627568
,4,SW,0.247642
,5,CH,301.828815
,5,SW,0.193844
,6,CH,294.311659
,6,SW,0.199217
,7,CH,314.485124
,7,SW,0.202468
,8,CH,325.178211
,8,SW,0.214933
,9,CH,309.367049
,9,SW,0.180454
,10,CH,294.364769
,10,SW,0.184156
,11,CH,281.084898
,11,SW,0.181934
,12,CH,269.186975
,12,SW,0.173659
,13,CH,260.066975
,13,SW,0.170469
,14,CH,251.590288
,14,SW,0.151237
,15,CH,244.638350
,15,SW,0.172732
,16,CH,235.385723
,16,SW,0.159347
,17,CH,232.298710
,17,SW,0.163788
,18,CH,223.646014
,18,SW,0.173594
,19,CH,219.778552
,19,SW,0.159489
,20,CH,213.733252
,20,SW,0.157479
,21,CH,205.993204
,21,SW,0.154507
,22,CH,203.746328
,22,SW,0.161543
,23,CH,198.232422
,23,SW,0.158391
,24,CH,194.058589
,24,SW,0.151540
,25,CH,191.453789
,25,SW,0.153661
,26,CH,188.723710
,26,SW,0.152582
,27,CH,182.918834
,27,SW,0.147229
